ID_TestSet,file,bx,by,bz,bl,bm,bn,bmag,vx,vy,vz,vmag,np,tpar,tper,goal
2,55,0.52,3.99,-2.53,0.12,-4.74,-0.33,4.75,-212.49,126.52,94.29,264.67,5.51,141.67,157.74,2
2,55,-0.46,2.83,-0.37,1.47,-2.49,-0.08,2.89,-205.3,121.8,91.7,255.72,6.51,139.22,154.13,2
2,55,0.63,3.69,-2.23,0.1,-4.36,-0.12,4.36,-208.85,119.43,89.61,256.73,6.15,144.39,151.92,2
2,55,1.71,3.79,-1.89,-0.25,-4.46,0.94,4.57,-205.67,124.33,91.95,257.32,6.06,148.72,164.85,2
2,55,0.69,0.82,0.04,0.05,-0.8,0.72,1.08,-212.35,120.57,95.26,262.1,5.97,183.88,153.38,2
2,55,2.89,2.43,-1.32,-1.26,-3.25,1.97,4,-228.69,140.36,97.01,285.32,5.51,197.75,155.72,2
2,55,1.55,8.06,-5.51,-0.29,-9.87,-0.5,9.88,-241.14,161.08,92.58,304.42,5.11,195.69,162.02,2
2,55,0.85,8.12,-5.18,0.35,-9.62,-0.87,9.67,-252.69,148.91,94.77,308.23,4.8,197.47,163.86,2
2,55,-0.15,6.25,-5.56,-0.26,-8.06,-2.22,8.37,-253.78,148.75,98.44,310.2,4.98,177.55,157.58,2
2,55,2.42,8.29,-7.41,-1.88,-11.19,-0.87,11.39,-255.88,139.91,92.58,305.98,4.58,162.64,185.55,2
2,55,5.18,4.47,-1.55,-1.67,-5.49,4.03,7.02,-255.8,125.9,106.54,304.35,5.02,200.21,171.94,2
2,55,0.03,4.52,-2.1,0.95,-4.88,-0.38,4.99,-261.94,103.3,135.36,312.42,5.11,229.05,186.61,2
2,55,-2.14,1.58,-0.81,1.52,-1.35,-1.89,2.78,-263.08,111.04,132.58,314.82,5.02,222.08,178.46,2
2,55,0.35,-2.09,-5.76,-4.95,-1.24,-3.41,6.14,-255.8,114.82,129.69,308.92,4.89,206.08,177.8,2
2,55,3.79,-0.33,-5.08,-5.59,-3,0.03,6.35,-252.33,106.66,123.19,300.36,4.89,165.61,194.52,2
2,55,4.04,-1.62,0.1,-3.08,0.68,3,4.35,-257.54,107.27,123.55,305.13,5.15,187.16,177.42,2
